Nº de ingreso,Signatura,Forma,Tema,Autor,Fecha,Color,Lugar,Descripción,Palabras claves,Medidas,Observaciones,Manchas,Roturas,Escrituras,Pérdida de elementos,Rayaduras,Dobleces,Pérdida de color,Otros deterioros
27,ELE-0026,Fotografía,Vista panorámica,s/a,s/f.,b/n,Rímac,"Vista del río Rímac y alrededores, se ve el puente de Piedra",,217x153,Fotografía de un grabado,no,no,no,si,no,no,no,no
169,ELE-0026,Fotografía,Vista panorámica,s/a,s/f,b/n,Rímac,"Vista del río Rímac y alrededores, se ve el puente de Piedra",,217x153,Foto de grabado. Ver: Fotografía Nº 27,no,no,no,no,no,no,no,no
28,ELE-0027,Fotografía,Estampa costumbrista,s/a,s/f.,b/n,Plaza Mayor de Lima,Personas disfrazadas en carnaval. Al fondo se aprecian los balcones de la Casa del Oidor,,218x158,Foto de foto,no,no,no,no,no,no,no,no
36,ELE-0028,Fotografía,Vida cotidiana,s/a,s/f.,b/n,Plaza Mayor de Lima,Desalojo del callejón de Petateros (hoy pasaje Olaya),,166x170,Foto de foto. Algo borrosa. Ver fotografía nº de ingreso 29,no,no,no,no,no,no,no,no
29,ELE-0028,Fotografía,Vida cotidiana,s/a,1917,b/n,Plaza Mayor de Lima,Desalojo del callejón de Petateros (hoy pasaje Olaya),,160x159,Foto de foto,no,no,si,no,no,no,no,no
30,ELE-0029,Fotografía,Calle,s/a,1860,sepia,Lima. Jr. de la Unión,"Vista general de la calle de Juan Simón, hoy edificio Rímac.",,230x177,,no,no,si,no,no,no,no,no
37,ELE-0029,Fotografía,Calle,s/a,1860,b/n,Lima. Jr. de la Unión,"Vista general de la calle de Juan Simón, hoy edificio Rímac.",,210x160,Ver fotografía nº de ingreso 30,no,no,no,no,no,no,no,no
31,ELE-0030,Fotografía,Calle,s/a,1908,b/n,Lima,Vista general de la calle de Ferrocarril,,217x150,Foto de foto,no,no,no,no,no,no,no,no
32,ELE-0031,Fotografía,Puente,s/a,1904,b/n,Lima,"Vista el Puente de Piedra, torres de la iglesia de San Francisco y fachada y torres de la iglesia de los Desamparados (hoy desaparecida)",,290x142,,no,no,no,no,no,no,no,no
33,ELE-0032,Fotografía,Calle,s/a,1885,sepia,Lima. Jr. de la Unión,"Vista general de las calles de Mercaderes, Espaderos y La Merced. Se aprecia una de las torres de la iglesia de La Merced",,179x230,Ver: ELE-033,no,no,si,si,no,no,no,no
34,ELE-0033,Fotografía,Calle,s/a,1885,b/n,Lima. Jr. de la Unión,"Vista general de las calles de Mercaderes, Espaderos y La Merced. Se aprecia una de las torres de la iglesia de La Merced",,239x179,Ver: ELE-032,no,no,no,si,no,no,no,no
35,ELE-0034,Fotografía,Calle,s/a,1874,b/n,Lima. Jr. Conde de Superunda,Vista general de la calle de Correo,,180x240,Algo borrosa,no,no,no,no,no,no,no,no
39,ELE-0035,Fotografía,Calle,s/a,s/f.,b/n,Lima. Jr. de la Unión,Esquina de las calles de Jesús Nazareno y Espaderos,,240x179,,no,no,no,no,no,no,no,no
41,ELE-0036,Fotografía,Callejón,s/a,1907,b/n,Plaza Mayor de Lima,"Vista general del callejón de Petateros (hoy pasaje Olaya), visto desde la calle Plateros de San Pedro",,180x239,Foto de foto. Ver: ELE-005; ELE-018,no,no,no,no,no,no,no,no
42,ELE-0037,Fotografía,Plaza y Parque,s/a,1904,b/n,Calle Belén. Cercanías del teatro Colón,"Vista de la Plaza ""La Micheo"", hoy desaparecida",,219x160,Ver: ELE-015,no,no,no,no,no,no,no,no
292,ELE-0038,Fotografía,Edificio comercial,s/a,s/f.,b/n,Lima. Calle Boza,"Fachada del Edificio del Diario La Crónica (hoy desaparecido). En los bajos funcionaba el Instituto de Lima, fundado el 1 de junio de 1891. Hoy Galerías Boza.",,220x138,Ver fotografía nº de ingreso 44,no,no,si,no,no,no,no,no
44,ELE-0038,Fotografía,Edificio comercial,s/a,1928,b/n,Lima. Calle Boza,"Fachada del Edificio del Diario La Crónica (hoy desaparecido). En los bajos funcionaba el Instituto de Lima, fundado el 1 de junio de 1891. Hoy Galerías Boza.",,219x149,Foto de foto,no,no,si,no,no,no,no,no
293,ELE-0038,Fotografía,Edificio comercial,s/a,s/f.,b/n,Lima. Calle Boza,"Fachada del Edificio del Diario La Crónica (hoy desaparecido). En los bajos funcionaba el Instituto de Lima, fundado el 1 de junio de 1891. Hoy Galerías Boza.",,218x136,Ver fotografía nº de ingreso 44,no,no,si,no,no,no,no,no
45,ELE-0039,Fotografía,Iglesia,s/a,s/f.,b/n,Esq. de las calles Estudios y San Pedro,Aspecto de la fachada de la iglesia de San Pedro de Lima,,180x240,"Foto de grabado de la Estadística de Lima, de Fuentes",no,no,no,no,no,no,no,no
46,ELE-0040,Fotografía,Puente,s/a,1872,b/n,Rímac,Vista del Puente de Piedra y del ferrocarril de la Oroya,,218x100,Foto de grabado,no,no,si,no,no,no,no,no
47,ELE-0041,Fotografía,Edificio público,s/a,1945,b/n,Jr. Huancavelica. Plazuela del Teatro,Vista de la fachada del Teatro Principal (Hoy Teatro Segura),,201x162,Foto del dibujo de Málaga Grenet,no,no,no,no,no,no,no,no
48,ELE-0042,Grabado,Calle,s/a,s/f.,sepia,Jr. Carabaya,Vista general de las calles Coca y Bodegones.,,289x211,"Foto de grabado de ""Lima"" de Fuentes",no,si,no,no,no,si,no,no
49,ELE-0043,Grabado,Calle,s/a,s/f.,sepia,Jr. de la Unión,Vista general de las calles Espaderos y La Merced,,289x211,"Foto de grabado del ""Atlas"" de Paz-Soldán",no,no,no,no,no,si,no,no
50,ELE-0044,Fotografía,Edificio público,s/a,1924,b/n,Jr. de la Unión,Vista del comedor del Palais Concert,,239x180,,no,no,no,no,no,no,no,no
51,ELE-0045,Fotografía,Iglesia,s/a,s/f.,b/n,Jr. Ancash,Vista general de la iglesia y convento de San Francisco,,218x150,Foto de grabado de Laubernie (Grabados de la Bonite),no,no,si,no,no,no,no,no
63,ELE-0045,Fotografía,Iglesia,s/a,s/f.,b/n,Jr. Ancash,Vista general de la iglesia y convento de San Francisco.,,219x158,Foto de grabado. Ver fotografía nº de ingreso 51,no,no,no,no,no,no,no,no
52,ELE-0046,Fotografía,Iglesia,s/a,1858,b/n,"Jr. de la Unión, calle de la Merced",Vista general de la iglesia de la Merced,,221x165,"Foto de grabado del ""Atlas"" de Paz-Soldán",no,no,no,no,no,no,no,no
53,ELE-0047,Fotografía,Iglesia,s/a,1858,b/n,Jr. Ucayali,Vista general de la iglesia de San Pedro,,240x180,"Foto de grabado del ""Atlas"" de Paz-Soldán",no,no,no,no,no,no,no,no
54,ELE-0048,Fotografía,Iglesia,s/a,1890,b/n,Jr. Trujillo - Rímac,Vista de la fachada de la iglesia de Las Campanas (antigua capilla en la bajada del Puente de Piedra).,,146x222,Foto de foto,no,no,no,no,no,no,no,no
56,ELE-0048,Fotografía,Iglesia,s/a,1890,b/n,Jr. Trujillo - Rímac,Vista de la fachada de la iglesia de Las Campanas (antigua capilla en la bajada del Puente de Piedra).,,148x231,Foto de foto. Ver fotografía nº de ingreso 54,no,no,no,no,no,no,no,no
55,ELE-0049,Fotografía,Iglesia,s/a,1970,b/n,Jr. Ancash,Vista general de la iglesia y convento de San Francisco.,,230x171,,no,no,no,no,no,no,no,no
58,ELE-0050,Fotografía,Iglesia,s/a,s/f.,b/n,Jr. Ancash,Vista general de la iglesia y convento de San Francisco. Se ve la fachada de la iglesia de la Soledad,,241x182,Ver Col. Fotográfica,no,no,no,no,no,no,no,no
59,ELE-0051,Fotografía,Convento,s/a,1890,b/n,Jr. Camaná,Aspecto de un claustro del convento de Santo Domingo. Se aprecia la torre de la iglesia después del incendio de 1862,,218x157,,no,no,no,no,no,no,no,no
61,ELE-0052,Fotografía,Iglesia,s/a,1921,b/n,Adyacente al Puente de Piedra,Vista de la fachada de la iglesia de los Desamparados (hoy desaparecida),,169x202,Ver fotografía nº de ingreso 60,si,no,no,no,no,no,no,no
60,ELE-0052,Fotografía,Iglesia,s/a,1921,b/n,Adyacente al Puente de Piedra,"Vista de la fachada de la iglesia de los Desamparados (hoy desaparecida), transformada por Píerola.",,149x177,,si,no,no,no,no,no,no,no
62,ELE-0053,Fotografía,Iglesia,s/a,1860,b/n,Adyacente al Puente de Piedra,"Vista de la fachada de la iglesia de los Desamparados (hoy desaparecida), y aspecto del Arco del Puente",,235x179,Foto de foto,no,no,no,no,no,no,no,no
64,ELE-0054,Fotografía,Iglesia,s/a,1870,b/n,Esq. Jr. Rufino y Av. Emancipación,"Vista general de la iglesia de San Marcelo (antes de su transformación en el Oncenio de Leguía), se aprecia la pila de la plazuela",,240x182,Foto de foto,no,no,no,no,no,no,no,no
65,ELE-0054,Fotografía,Iglesia,s/a,1870,b/n,Esq. Jr. Rufino y Av. Emancipación,"Vista general de la iglesia de San Marcelo, se aprecia la pila de la plazuela",,240x182,Foto de foto. Ver fotografía nº de ingreso 64,no,no,no,no,no,no,no,no
66,ELE-0055,Fotografía,Monumento,s/a,1892,b/n,Plaza del Congreso,"Plaza de la Inquisición florida, antes de la apertura de la Av. Abancay, con estatua de Bolívar  Al fondo la transformada  iglesia de La Caridad, hoy desaparecida",,219x159,Foto de foto,no,no,no,no,no,no,no,no
67,ELE-0056,Fotografía,Monumento,s/a,1860,sepia,Plaza del Congreso,"Plaza de la Inquisición (hoy Plaza del Congreso), antes de la apertura de la Av. Abancay. Al fondo  la  iglesia de La Caridad, hoy desaparecida",,232x172,,no,no,si,no,si,no,no,no
68,ELE-0057,Fotografía,Iglesia,s/a,s/f.,b/n,Plaza Mayor,Fachada de la Catedral de Lima. Muerte de los Hermanos Gutiérrez,,115x179,Foto de publicación. Trae texto anexo,si,no,no,no,no,no,no,no
69,ELE-0058,Fotografía,Edificio comercial,s/a,1889,b/n,Lima,"Fachada del almacén ""Grand bon marché de Lima""",,215x143,Foto de dibujo,no,no,no,no,no,no,no,no
70,ELE-0059,Fotografía,Edificio público,s/a,1919,b/n,"En la hoy Plaza San Martín, en el solar que ocupa el Gran Hotel Bolívar","Famoso local ""El Palacio de Cartón"", usado para circo, teatro, variedades, etc.",,217x180,Foto de foto,no,no,no,no,no,no,no,si
71,ELE-0060,Fotografía,Edificio comercial,s/a,1899,b/n,Jr. de la Unión. Calle de Espaderos,"Fachada del almacén ""G. Welsch y Ca."" (antiguo local, hoy desaparecido)",,217x154,Foto de foto,no,no,no,no,no,no,no,no
72,ELE-0060,Fotografía,Edificio comercial,s/a,1899,b/n,Jr. de la Unión. Calle de Espaderos,"Fachada del almacén ""G. Welsch y Ca."" (antiguo local, hoy desaparecido)",,217x156,Foto de foto. Ver fotografía nº de ingreso 71,no,no,si,no,no,no,no,no
73,ELE-0061,Fotografía,Convento,s/a,1906,b/n,Plaza Francia,Fachada del convento de Los Recoletos en la Plaza Francia durante el matrimonio Pardo-Barreda. Se aprecia un aspecto de la iglesia de La Recoleta y numerosas calesas en la plaza,,238x179,,no,no,no,no,no,no,no,no
75,ELE-0062,Fotografía,Edificio público,s/a,1924,b/n,Parque de la Exposición,"Fachada del comedor y restaurant del Jardín de la Exposición; también conocido como ""Restaurant del Zoológico""",,240x140,Ver fotografía nº de ingreso 74,si,no,no,no,no,no,no,no
74,ELE-0062,Fotografía,Edificio público,s/a,1924,b/n,Parque de la Exposición,"Fachada del comedor y restaurant del Jardín de la Exposición; también conocido como ""Restaurant del Zoológico""",,250x122,,no,no,no,no,no,no,no,no
76,ELE-0063,Fotografía,Transporte,s/a,1896,b/n,Plaza Dos de Mayo,"Coche cerrado de invierno, jalado por caballos",,175x111,,no,no,no,no,no,no,no,no
77,ELE-0064,Fotografía,Manifestación artística,s/a,1898,b/n,s/u.,"La Palizada. Grupo conformado por Fernando Soria, Menacho, Pastor, Paz y otros",,196x165,Foto de foto,no,no,no,no,no,no,no,no
78,ELE-0065,Fotografía,Edificio comercial,s/a,1910,b/n,Lima,Cantina del famoso Jardín Estrasburgo,,230x171,Foto de foto,no,no,si,no,no,no,no,no
79,ELE-0066,Fotografía,Edificio comercial,s/a,1890,sepia,Lima,"Fachada de la perfumería y peluquería ""Antigua Casa Guillon""",,204x156,,no,no,no,no,no,no,no,no
80,ELE-0066,Fotografía,Edificio comercial,s/a,1890,b/n,Lima,"Fachada de la perfumería y peluquería ""Antigua Casa Guillon""",,219x168,Ver fotografía nº de ingreso 79,no,no,no,no,no,no,no,no
81,ELE-0066,Fotografía,Edificio comercial,s/a,1890,sepia,Lima,"Fachada de la perfumería y peluquería ""Antigua Casa Guillon""",,215x162,Ver fotografía nº de ingreso 79,no,no,no,no,no,no,no,no
82,ELE-0067,Fotografía,Edificio comercial,s/a,1860,b/n,"Lima, calle Plateros, hoy Ucayali","Fachada de la firma Broggi Hermanos; decorada, al parecer, para el paso de alguna procesión",,146x247,,no,no,no,no,no,no,no,no
83,ELE-0068,Fotografía,Transporte,s/a,1898,b/n,Lima,Tranvía de la Exposición. Grupo de jóvenes limeñas subiendo al tranvía.,,217x160,,no,no,si,no,no,no,no,no
84,ELE-0069,Fotografía,Transporte,C.S.,1906,b/n,Lima,"Tranvía a caballo, línea Monserrate-Cercado. Grupo de hombres empujando el vagón",,219x135,,no,no,no,no,no,no,no,no
85,ELE-0070,Fotografía,Transporte,s/a,1906,b/n,Calle de Jesús María,Primer tranvía eléctrico que recorrió Lima.,,220x160,,no,no,si,no,no,no,no,no
86,ELE-0071,Fotografía,Edificio público,s/a,1885,sepia,Lima,Fachada de la estación de la Encarnación (Ferrocarril Inglés) Lima-Chorrillos,,232x172,,no,no,si,no,no,no,no,no
87,ELE-0072,Fotografía,Transporte,s/a,1889,b/n,Lima,"Locomotora ""La Favorita"". Ferrocarril Central, estación de Desamparados.",,240x180,Ver: Col. Fotográfica,no,no,no,no,no,no,no,no
88,ELE-0073,Fotografía,Transporte,s/a,1919,b/n,Lima,"Primer ómnibus para pasajeros llegado a Lima, llamado ""La Perrera""",,157x115,,no,no,no,no,no,no,no,no
89,ELE-0074,Fotografía,Transporte,s/a,1914,b/n,Rímac,Tranvía de la línea Los Descalzos en una calle del Rímac en un día de carnaval,,225x118,Foto de foto,no,no,no,no,no,no,no,no
90,ELE-0075,Fotografía,Transporte,s/a,1906,b/n,Plaza Mayor de Lima,"Tranvías jalados a caballos, uno de la línea Matienzo-Santa Clara; al fondo se aprecia la Catedral de Lima",,238x179,Foto de foto,no,no,no,no,no,no,no,no
91,ELE-0076,Fotografía,Transporte,s/a,1898,b/n,Chorrillos,"Tranvía, jalado a caballos, entre Chorrillos y Barranco",,219x160,,no,no,si,no,no,no,no,no
92,ELE-0077,Fotografía,Transporte,s/a,1922,b/n,Lima,Automóvil Ford-T,,177x137,Foto de publicación,no,no,no,no,no,no,no,no
93,ELE-0078,Fotografía,Transporte,s/a,1904,b/n,Lima,El primer carro a motor traido al Perú por el Dr. Ricardo Flores,,195x160,Foto de foto,no,no,si,no,no,no,no,no
94,ELE-0079,Fotografía,Transporte,s/a,1922,b/n,Lima,"Coche Victoria, jalado a caballos",,177x134,Foto de publicación,no,no,no,no,no,no,no,no
95,ELE-0080,Fotografía,Transporte,s/a,1906,b/n,Plaza Mayor de Lima,"Tranvía jalado a caballos, línea Matienzo-Santa Clara",,239x179,Foto de foto,no,no,no,no,no,no,no,no
96,ELE-0081,Fotografía,Transporte,s/a,1922,b/n,Lima,Tranvía eléctrico urbano,,177x132,Foto de publicación,no,no,no,no,no,no,no,no
97,ELE-0082,Fotografía,Transporte,s/a,1922,b/n,Lima,Omnibus de pasajeros,,178x132,Foto de publicación,no,no,no,no,no,no,no,no
98,ELE-0083,Fotografía,Transporte,s/a,1911,b/n,Lima-Sta. Beatriz,Automóvil. Grupo de personas llegando al Hipódromo de Sta. Beatriz,,240x180,,no,no,no,no,no,no,no,no
99,ELE-0084,Fotografía,Transporte,s/a,1889,b/n,Lima,Tranvía jalado a caballos,,238x177,Foto de foto,no,no,no,no,no,no,no,no
100,ELE-0085,Fotografía,Transporte,s/a,1900,b/n,Jardines de la Exposición,Automóvil. Carro de lujo que llegó a Lima. Aparecen dos personas sentadas dentro de él. Al parecer son Enrique Meiggs y una dama,,225x182,Foto de foto,no,no,no,no,no,no,no,no
101,ELE-0086,Fotografía,Transporte,s/a,s/f.,b/n,Lima,Calesa del virrey Amat,,203x139,,no,no,si,no,no,no,no,no
208,ELE-0086,Fotografía,Transporte,s/a,s/f,b/n,Lima,Calesa del virrey Amat,,236x164,Ver fotografía nº de ingreso 101,no,no,no,no,no,no,no,no
102,ELE-0087,Fotografía,Transporte,s/a,1904,b/n,Puente de Piedra,Tranvía jalado a caballos cruzando el Puente de Piedra,,221x143,Foto de foto,no,no,no,no,no,no,no,no
103,ELE-0088,Fotografía,Personaje,J. Delto,s/f.,b/n,Lima,Familia Iturregui Orbegoso sentados en un coche,,232x179,"Foto de foto, un sector de la foto original se ha perdido",no,no,si,no,no,no,no,no
104,ELE-0089,Fotografía,Evento social,s/a,1901,b/n,Lima,Grupo de damas de la sociedad limeña tomando el té,,189x130,,no,no,no,no,no,no,no,no
105,ELE-0090,Fotografía,Evento social,s/a,1921,b/n,Lima-Palacio de Torre Tagle,"Grupo de damas y caballeros de la sociedad limeña vistiendo trajes del s. XVIII, en las fiestas del Centenario de la Independencia",,239x180,,no,no,no,no,no,no,no,no
106,ELE-0091,Fotografía,Personaje,s/a,1906,b/n,Rímac,Familia Espantoso en el Mirador de Acho,,203x159,,no,no,si,no,no,no,no,no
107,ELE-0092,Fotografía,Manifestación artística,s/a,1910,b/n,Lima,"Ballet de artistas aficionados, entre ellos Miguel Miró Quesada, Paul Guislain, Graña, etc.",,235x180,,no,no,si,no,no,no,no,no
109,ELE-0093,Fotografía,Personaje,s/a,1904,b/n,Lima,"Paseo en burro de un grupo de damas y niños en Miraflores. Entre ellos: María Isabel Sánchez Concha, los niños Álvarez Calderón y otros niños miraflorinos",,240x179,Ver fotografía nº de ingreso 108,no,no,no,no,no,no,no,no
108,ELE-0093,Fotografía,Personaje,s/a,1904,b/n,Lima,"Paseo en burro de un grupo de damas y niños en Miraflores. Entre ellos: María Isabel Sánchez Concha, los niños Álvarez Calderón y otros niños miraflorinos",,253x224,,no,no,no,no,no,no,no,no
110,ELE-0094,Fotografía,Personaje,s/a,1900,b/n,Lima,Paseo a caballo de los estudiantes y personal del Instituto de Lima a la Huerta Quiroga,,216x168,Ver: ELE-095,no,no,no,no,no,no,no,no
111,ELE-0095,Fotografía,Personaje,s/a,1900,b/n,Lima,Paseo a caballo de los estudiantes y personal del Instituto de Lima a la Huerta Quiroga,,233x161,Ver: ELE-094,no,no,no,no,si,no,no,no
112,ELE-0096,Fotografía,Personaje,s/a,1889,b/n,Lima,Grupo de hombres a caballo. Un anciano con poncho y otro personaje en una carreta jalada por un caballo,,240x180,,no,no,no,no,no,no,no,no
113,ELE-0097,Fotografía,Vivienda,s/a,1890,b/n,Lima,Grupo de hombrea almorzando en los jardines de la Quinta Heeren,,238x179,,no,no,no,no,no,no,no,no
114,ELE-0098,Fotografía,Vivienda,s/a,1904,b/n,Lima,Grupo de personas en los jardines de la Quinta Heeren en un día de fiesta,,253x204,,no,no,no,no,no,no,no,no
581,ELE-0098,Fotografía,Personaje,s/a,1894,sepia,s/l,Retrato de cuerpo entero de Remigio Morales Bermúdez,,180x239,,no,no,no,no,no,no,no,no
115,ELE-0099,Fotografía,Vivienda,s/a,1921,b/n,Lima-Palacio de Torre Tagle,Grupo de personas de la sociedad limeña ataviados con trajes del XVIII en la celebración de las fiestas del Centenario de la Independencia. Se aprecia un aspecto del patio del Palacio de Torre Tagle,,239x180,,no,no,no,no,no,no,no,no
116,ELE-0100,Fotografía,Manifestación artística,s/a,1897,b/n,Lima,"Grupo bohemio ""La Palizada"". Leyenda: ""…era, sin duda, el grupo más representativo de la bohemia limeña de fin de siglo. […] aparecen entre otros, Jesús Menacho, bailando; Pepe Ezeta, con el cajón; Augusto Paz, Fernando Soria, Juan Castro Ozete"".",,235x149,Foto de publicación,no,no,si,no,no,no,no,no
117,ELE-0101,Fotografía,Edificio público,s/a,1909,b/n,Plaza del Congreso,Fachada de la Compañía Italiana de Bomberos y de el Senado,,210x159,Foto de foto,no,no,si,no,no,no,no,no
118,ELE-0102,Fotografía,Edificio público,s/a,1908,b/n,Plaza del Congreso,Sala de sesiones de la antigua Cámara de Diputados,,210x160,Foto de grabado,no,no,no,no,no,no,no,no
